ID,Bucket,Criterion,PassRequires,Critical,Conditional
P1,P,성취기준과 출처,"성취기준 코드·문장·확인 상태·출처가 함께 제시된다.",true,
P2,P,선행 개념,"교사가 확인할 수 있는 구체적인 선행 개념 또는 기준이 제시된다.",false,
P3,P,목표 분리,"지속적 이해(Big Idea)와 관찰 가능한 학생 행동이 분리된다.",false,
P4,P,예상 난점,"최소 3개의 예상 난점에 학생 반응·원인·교사 대응이 포함된다.",false,
P5,P,수업 단계,"수업 단계가 순서와 시간으로 제시되고 전체 시간과 연결된다.",false,
P6,P,관찰 증거,"교사가 관찰할 구체적인 학생 행동과 그에 따른 대응이 제시된다.",false,
R1,R,학년 수준 엄밀성,"지원이 핵심 인지 요구를 낮추지 않고 성취기준의 난도를 유지한다.",true,
R2,R,추론 과제,"학생이 설명·근거·비교·판단 중 하나를 수행해야 하는 과제가 있다.",false,
R3,R,핵심 난도 출구 과제,"출구 과제가 성취기준의 구조적으로 어려운 요구를 확인한다.",false,
R4,R,학생 주도성,"학생용 자료에 선택·성찰·자기 설명 중 하나가 포함된다.",false,
O1,O,학생 자료 대상 분리,"학생 자료에 교사용 지시·관찰 기록·정답 해설이 섞이지 않는다.",true,
O2,O,관찰 양식 사용성,"관찰 항목이 학생 행동에 연결되고 기록 공간이 충분하다.",false,
O3,O,계획 가독성,"교사가 다음 행동을 빠르게 찾을 수 있도록 단계와 설명이 분리된다.",false,
O4,O,접근성,"문장 틀·용어 설명·표상·응답 방식 선택 중 2개 이상이 제공된다.",false,
O5,O,교사·학생 과제 일치,"계획의 과제와 학생 자료의 과제가 양방향으로 일치한다.",true,
O6,O,자료 준비성,"모든 자료가 패키지에 포함되거나 확인 가능한 출처·경로를 가진다.",false,
O7,O,시간·자료 현실성,"과제량과 준비물이 실제 수업 시간과 교실 조건에 맞는다.",false,
M1,M,필요 질문,"결과에 영향을 주는 누락 정보만 질문하고 나머지는 명시된 기본값을 사용한다.",false,
M2,M,기본값 고지,"학년·교과·자료·학습자 정보가 없을 때 적용한 기본값을 알린다.",false,
M3,M,수정 선택지,"첫 결과 후 해당 수업에 맞는 구체적인 수정 선택지를 제공한다.",false,
S1,S,개인정보 차단,"학생 이름·연락처·식별번호·진단 원문이 매니페스트와 산출물에 없다.",true,
S2,S,출처 재현성,"성취기준·자료의 출처와 확인 상태·조회 시점이 추적 가능하다.",true,
S3,S,저작권·고지,"외부 자료의 이용 상태와 필요한 attribution·NOTICE가 기록된다.",false,
S4,S,AI·근거 검증,"AI 사용 시 생성 내용·검증 자료·수정 또는 폐기 흔적이 남는다.",false,
